code,name,region
1885,Lindesberg,Örebro
1904,Skinnskatteberg,Västmanland
1907,Surahammar,Västmanland
1960,Kungsör,Västmanland
1961,Hallstahammar,Västmanland
1962,Norberg,Västmanland
1980,Västerås,Västmanland
1981,Sala,Västmanland
1982,Fagersta,Västmanland
1983,Köping,Västmanland
1984,Arboga,Västmanland
2021,Vansbro,Dalarna
2023,Malung-Sälen,Dalarna
2026,Gagnef,Dalarna
2029,Leksand,Dalarna
2031,Rättvik,Dalarna
2034,Orsa,Dalarna
2039,Älvdalen,Dalarna
2061,Smedjebacken,Dalarna
2062,Mora,Dalarna
2080,Falun,Dalarna
2081,Borlänge,Dalarna
2082,Säter,Dalarna
2083,Hedemora,Dalarna
2084,Avesta,Dalarna
2085,Ludvika,Dalarna
2101,Ockelbo,Gävleborg
2104,Hofors,Gävleborg
2121,Ovanåker,Gävleborg
2132,Nordanstig,Gävleborg
2161,Ljusdal,Gävleborg
2180,Gävle,Gävleborg
2181,Sandviken,Gävleborg
2182,Söderhamn,Gävleborg
2183,Bollnäs,Gävleborg
2184,Hudiksvall,Gävleborg
2260,Ånge,Västernorrland
2262,Timrå,Västernorrland
2280,Härnösand,Västernorrland
2281,Sundsvall,Västernorrland
2282,Kramfors,Västernorrland
2283,Sollefteå,Västernorrland
2284,Örnsköldsvik,Västernorrland
2303,Ragunda,Jämtland
2305,Bräcke,Jämtland
2309,Krokom,Jämtland
2313,Strömsund,Jämtland
2321,Åre,Jämtland
2326,Berg,Jämtland
2361,Härjedalen,Jämtland
2380,Östersund,Jämtland
2401,Nordmaling,Västerbotten
2403,Bjurholm,Västerbotten
2404,Vindeln,Västerbotten
2409,Robertsfors,Västerbotten
2417,Norsjö,Västerbotten
2418,Malå,Västerbotten
2421,Storuman,Västerbotten
2422,Sorsele,Västerbotten
2425,Dorotea,Västerbotten
2460,Vännäs,Västerbotten
2462,Vilhelmina,Västerbotten
2463,Åsele,Västerbotten
2480,Umeå,Västerbotten
2481,Lycksele,Västerbotten
2482,Skellefteå,Västerbotten
2505,Arvidsjaur,Norrbotten
2506,Arjeplog,Norrbotten
2510,Jokkmokk,Norrbotten
2513,Överkalix,Norrbotten
2514,Kalix,Norrbotten
2518,Övertorneå,Norrbotten
2521,Pajala,Norrbotten
2523,Gällivare,Norrbotten
2560,Älvsbyn,Norrbotten
2580,Luleå,Norrbotten
2581,Piteå,Norrbotten
2582,Boden,Norrbotten
2583,Haparanda,Norrbotten
2584,Kiruna,Norrbotten
